Title,Type,Option1 Value,Option2 Value,Variant SKU,Variant Price
,,Vintage White,Bath,BT-1014-T4-122,32
,,Vintage White,Hand,HT-1014-T4-122,18
,,Vintage White,Wash,WT-1014-T4-122,11
Perugia Bath Towel,Solids,White,Bath,BT-1014-T4-100,32
,,White,Hand,HT-1014-T4-100,18
,,White,Wash,WT-1014-T4-100,11
,,White,Set,BHWT-1014-T4-100,61
,,Vintage White,Bath,BT-1014-T4-122,32
,,Vintage White,Hand,HT-1014-T4-122,18
,,Vintage White,Wash,WT-1014-T4-122,11
Gift Card,Gift Card,$25,,,25
,,$50,,,50
,,$100,,,100
,,$150,,,150
,,$200,,,200
Isadora Robes,Bath Robes,White,S/M,'813232024276,80
,,White,L/XL,'813232024286,80
,,Silver Isadora,S/M,'813232024290,80
,,Silver Isadora,L/XL,'813232024306,80
,,French Blue,S/M,'813232024337,80
,,French Blue,L/XL,'813232024344,80
,,Congo Pink,S/M,'813232024313,80
,,Congo Pink,L/XL,'813232024320,80
Cozy Bath Towel Collection,Bath Towel,Bright Coral,Bath,'813232023101,28
,,Bright Coral,Hand,'813232023118,18
,,Bright Coral,Wash,'813232023125,10
,,Bright Coral,Set,'813232024580,50
,,White,Bath,'813232023224,28
,,White,Hand,'813232023231,18
,,White,Wash,'813232023248,10
,,White,Set,'813232024627,50
,,Dream Pink,Bath,'813232023132,28
,,Dream Pink,Hand,'813232023149,18
,,Dream Pink,Wash,'813232023156,10
,,Dream Pink,Set,'813232024597,50
,,Blue,Bath,'813232023071,28
,,Blue,Hand,'813232023088,18
,,Blue,Wash,'813232023095,10
,,Blue,Set,'813232024573,50
,,Navy,Bath,'813232023163,28
,,Navy,Hand,'813232023170,18
,,Navy,Wash,'813232023187,10
,,Navy,Set,'813232024603,50
,,Silver Kids,Bath,'813232023194,28
,,Silver Kids,Hand,'813232023200,18
,,Silver Kids,Wash,'813232023187,10
,,Silver Kids,Set,'813232024610,50
Simply Reversible Rug Collection,Bath Rugs,White,Small,'813232023767,30
,,White,Med,'813232023774,45
,,White,Large,'813232023781,75
,,Camel,Small,'813232023828,30
,,Camel,Med,'813232023835,45
,,Camel,Large,'813232023842,75
,,Vintage White,Small,'813232023798,30
,,Vintage White,Med,'813232023804,45
,,Vintage White,Large,'813232023811,75
,,Arctic Blue,Small,'813232023880,30
,,Arctic Blue,Med,'813232023897,45
,,Arctic Blue,Large,'813232023903,75
,,Nickel,Small,'813232023859,30
,,Nickel,Med,'813232023866,45
,,Nickel,Large,'813232023873,75
Perugia Bath Rug Collection,Bath Rugs,White,Small,BRS-1014-T1-100,30
,,White,Med,BRM-1014-T4-100,45
,,White,Large,BRL-1014-T4-100,75
,,Dove,Small,BRS-1014-T4-217,30
,,Dove,Med,BRM-1014-T4-217,45
,,Dove,Large,BRL-1014-T4-217,75
,,Seagreen,Small,BRS-1014-T4-806,30
,,Seagreen,Med,BRM-1014-T4-806,45
,,Seagreen,Large,BRL-1014-T4-806,75
,,Mimosa,Small,BRS-1014-T4-1026,30
,,Mimosa,Med,BRM-1014-T4-1026,45
,,Mimosa,Large,BRL-1014-T4-1026,75
,,Soft Shell Pink,Small,BRS-1014-T4-1031,30
,,Soft Shell Pink,Med,BRM-1014-T4-1031,45
,,Soft Shell Pink,Large,BRL-1014-T4-1031,75
,,Vintage White,Small,BRS-1014-T4-122,30
,,Vintage White,Med,BRM-1014-T4-122,45
,,Vintage White,Large,BRL-1014-T4-122,75
Ombre Hearts,Bath Towel,Pink,Bath,'813232023255,28
,,Pink,Hand,'813232023262,18
,,Pink,Wash,'813232023279,10
,,Pink,Set,'813232024634,50
Buenos Aires Bath Towel Collection,BATH TOWEL,Buenos Aires Linen,Bath,BT-1304-T1-404,32
,,Buenos Aires Linen,Hand,HT-1304-T1-404,18
,,Buenos Aires Linen,Wash,TT-1304-T1-404,11
,,Buenos Aires Seaglass Grey,Bath,BT1304T13038,32
,,Buenos Aires Seaglass Grey,Hand,HT1304T13038,18
,,Buenos Aires Seaglass Grey,Wash,WT1304T13038,11
,,Buenos Aires Coral,Bath,BT1304T11038,32
,,Buenos Aires Coral,Hand,HT1304T11038,18
,,Buenos Aires Coral,Wash,WT1304T11038,11
,,Buenos Aires Beige,Bath,BT1304T1434,32
,,Buenos Aires Beige,Hand,HT1304T1434,18
,,Buenos Aires Beige,Wash,WT1304T1434,11
Ciudad Bath Towel Set,Fancies,Ciudad Linen,,BHWT-1325-T1-404,50
,,,,,
,,,,,
Paloma Bath Towel Collection,Fancies,Grey Paloma,Bath,BT-1324-T1-203,32
,,Grey Paloma,Hand,HT-1324-T1-203,18
,,Grey Paloma,Wash,WT-1324-T1-203,11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Paloma,Fancies,Grey Paloma,Bath,BT-1324-T1-203,32
,,Grey Paloma,Hand,HT-1324-T1-203,18
,,Grey Paloma,Wash,WT-1324-T1-203,11
,,Grey Paloma,Set,BHWT-1324-T1-203,61
Milano Bath Towel Collection,Fancies,Mineral Milano,Bath,BT-1323-T1-302,32
,,Mineral Milano,Hand,HT-1323-T1-302,18
,,Mineral Milano,Wash,WT-1323-T1-302,11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Milano,Fancies,Grey Milano,Bath,BT-1323-T1-103,32
,,Grey Milano,Hand,HT-1323-T1-103,18
,,Grey Milano,Wash,WT-1323-T1-103,11
,,Grey Milano,Set,BHWT-1323-T1-203,61
Scarlet Fouta Bath Towel Collection,Fancies,Vintage White Scarlet,Bath,BT-1314-T3-122,32
,,Vintage White Scarlet,Hand,HT-1314-T3-122,18
,,Vintage White Scarlet,Wash,WT-1314-T3-122,11
,,Vintage White Scarlet,Set,BHWT-1314-T3-122,61
Santiago,Solids,White with Denim,Bath,BT-1322-T4-318,32
,,White with Denim,Hand,HT-1322-T4-318,18
,,White with Denim,Tip,WT-1322-T4-318,15
,,White with Denim,Set,BHWT-1322-T4-318,65
Santiago,Solids,White with Orange Punch,Bath,BT-1322-T4-1103,32
,,White with Orange Punch,Hand,HT-1322-T4-1103,18
,,White with Orange Punch,Tip,WT-1322-T4-1103,15
,,White with Orange Punch,Set,BHWT-1322-T4-1103,65
,,,,,
Santiago,Solids,Ivory with Mineral,Bath,BT-1322-T4-302,32
,,Ivory with Mineral,Hand,HT-1322-T4-302,18
,,Ivory with Mineral,Tip,WT-1322-T4-302,15
,,Ivory with Mineral,Set,BHWT-1322-T4-302,65
Santiago Bath Towel Collection,Solids,White with Eggshell,Bath,BT-1322-T1-356,32
,,White with Eggshell,Hand,HT-1322-T1-356,18
,,White with Eggshell,Tip,WT-1322-T1-356,15
,,Ivory with Mimosa,Bath,BT-1322-T4-1031,32
,,Ivory with Mimosa,Hand,HT-1322-T4-1031,18
,,Ivory with Mimosa,Tip,WT-1322-T4-1031,15
,,Ivory with Mineral,Bath,bt-1322-t4-302,32
,,Ivory with Mineral,Hand,ht-1322-t4-302,18
,,Ivory with Mineral,Tip,WT-1322-t4-302,15
,,White with Denim,Bath,BT-1322-T4-318,32
,,White with Denim,Hand,HT-1322-T4-318,18
,,White with Denim,Tip,WT-1322-T4-318,15
,,White with Orange Punch,Bath,BT-1322-T4-1103,32
,,White with Orange Punch,Hand,HT-1322-T4-1103,18
,,White with Orange Punch,Tip,WT-1322-T4-1103,15
,,White with Grey,Bath,BT-1322-T1-203,32
,,White with Grey,Hand,HT-1322-T1-203,18
,,White with Grey,Tip,WT-1322-T1-203,15
,,White with Linen,Bath,BT-1322-T1-404,32
,,White with Linen,Hand,HT-1322-T1-404,18
,,White with Linen,Tip,WT-1322-T1-404,15
,,White with White,Bath,BT-1322-T1-100,32
,,White with White,Hand,HT-1322-T1-100,18
,,White with White,Tip,WT-1322-T1-100,15
Perugia Bath Towel Collection,Solids,Mimosa,Bath,BT-1014-T4-1026,32
,,Mimosa,Hand,HT-1014-T4-1026,18
,,Mimosa,Wash,WT-1014-T4-1026,11
,,Soft Shell Pink,Bath,BT-1014-T4-1031,32
,,Soft Shell Pink,Hand,HT-1014-T4-1031,18
,,Soft Shell Pink,Wash,WT-1014-T4-1031,11
,,Seagreen,Bath,BT-1014-T4-806,32
,,Seagreen,Hand,HT-1014-T4-806,18
,,Seagreen,Wash,WT-1014-T4-806,11
,,Dove,Bath,BT-1014-T4-217,32
,,Dove,Hand,HT-1014-T4-217,18
,,Dove,Wash,WT-1014-T4-217,11
,,White,Bath,BT-1014-T4-100,32
,,White,Hand,HT-1014-T4-100,18
,,White,Wash,WT-1014-T4-100,11
,,Vintage White,Bath,BT-1014-T4-122,32
,,Vintage White,Hand,HT-1014-T4-122,18
,,Vintage White,Wash,WT-1014-T4-122,11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Scarlet Bath Accessories,Accessories,Scarlet Mimosa,Pump,LD-1314-A3-1026,20
,,Scarlet Mimosa,Bin,WB-1314-A3-1026,45
,,Scarlet Mimosa,Dish,SD-1314-A3-1026,17
,,Scarlet Mimosa,Jar,JAR-1314-A3-1026,20
,,Scarlet Mimosa,Tmblr,TUM-1314-A3-1026,17
Scarlet Bath Accessories,Accessories,Scarlet Mineral,Pump,LD-1314-A3-302,20
,,Scarlet Mineral,Bin,WB-1314-A3-302,45
,,Scarlet Mineral,Dish,SD-1314-A3-302,17
,,Scarlet Mineral,Jar,JAR-1314-A3-302,20
,,Scarlet Mineral,Tmblr,TUM-1314-A3-302,17
Scarlet Bath Accessories,Accessories,Scarlet Linen,Pump,LD-1314-A3-404,20
,,Scarlet Linen,Bin,WB-1314-A3-404,45
,,Scarlet Linen,Dish,SD-1314-A3-404,17
,,Scarlet Linen,Jar,JAR-1314-A3-404,20
,,Scarlet Linen,Tmblr,TUM-1314-A3-404,17
Scarlet Bath Accessories,Accessories,Scarlet Linen,Bin,WB-1314-A3-404,56
,,Scarlet Linen,Dish,SD-1314-A3-404,18
,,Scarlet Linen,Jar,JAR-1314-A3-404,22
,,Scarlet Linen,Tmblr,TUM-1314-A3-404,18
,,Scarlet Linen,Pump,LD-1314-A3-404,22
,,Scarlet Grey,Bin,WB-1314-A3-203,56
,,Scarlet Grey,Dish,SD-1314-A3-203,18
,,Scarlet Grey,Jar,JAR-1314-A3-203,22
,,Scarlet Grey,Tmblr,TUM-1314-A3-203,18
,,Scarlet Mineral,Bin,WB-1314-A3-302,56
,,Scarlet Mineral,Dish,SD-1314-A3-302,18
,,Scarlet Mineral,Jar,JAR-1314-A3-302,22
,,Scarlet Mineral,Tmblr,TUM-1314-A3-302,18
,,Scarlet Mineral,Pump,LD-1314-A3-302,22
,,Scarlet Mimosa,Bin,WB-1314-A3-1026,56
,,Scarlet Mimosa,Dish,SD-1314-A3-1026,18
,,Scarlet Mimosa,Jar,JAR-1314-A3-1026,22
,,Scarlet Mimosa,Tmblr,TUM-1314-A3-1026,18
,,Scarlet Mimosa,Pump,LD-1314-A3-1026,22
Carrara Bath Accessories,Accessories,White Marble,Pump,LD-1154-A6-100,45
,,White Marble,TBH,TBH-1154-A6-100,34
,,White Marble,Box,BOX-1154-A6-100,57
,,White Marble,Tray,TR-1154-A6-100,57
,,Black Marble,Pump,LD-1154-A6-902,40
,,Black Marble,TBH,TBH-1154-A6-902,34
,,Black Marble,Box,BOX-1154-A6-902,57
,,Black Marble,Tray,TR-1154-A6-902,57
Carrara Bath Accessories,Accessories,White Marble,Pump,LD-1154-A6-100,35
,,White Marble,TBH,TBH-1154-A6-100,30
,,White Marble,Box,BOX-1154-A6-100,50
,,White Marble,Tray,TR-1154-A6-100,50
Medici Bath Accessories,Accessories,Matte White,Jar,JAR-1066-A2-100,34
,,Matte White,Pump,LD-1066-A2-100,22
,,Matte White,Tmblr,TUM-1066-A2-100,18
,,Matte White,Dish,TR1-1066-A2-100,18
,,Matte White,Tray,TR2-1066-A2-100,34
Isadora Bath Accessories,Accessories,Shiny White,Pump,LD-1152-A4-1200,22
,,Shiny White,Tmblr,TUM-1152-A4-1200,18
,,Shiny White,Jar,JAR-1152-A4-1200,22
,,Shiny White,Dish,SD-1152-A4-1200,18
Perugia Bath Accessories,Accessories,White,Pump,LD-1014-A2-100,22
,,White,Bin,WB-1014-A2-100,57
,,White,Jar,JAR-1014-A2-100,34
,,White,Tray,TR-1014-A2-100,57
,,White,Tmblr,TUM-1014-A2-100,22
Buenos Aires Shower Curtain,Shower Curtains,Buenos Aires Linen,,SC-1304-S1-404,40
,,Buenos Aires Mineral,,SC-1304-S1-302,40
Buenos Aires,Shower Curtains,Mineral,,SC-1304-S1-302,40
Duvel Shower Curtain,Shower Curtains,Pastel Turquoise,,'813232024375,40
Carrara Stripe Shower Curtain,Shower Curtains,Vintage White,,SC-1154-S1-233,40
Scarlet Shower Curtain,Shower Curtains,Vintage White,,SC-1314-S1-122,40
Caro Kids Underwater Mermaid Beach Towel,Beach,Pink,,BCH-1230-T3-1022,19.6
Medici,Beach,Blue,,B2H-1066-T3-301,60
Medici Beach Towel,Beach,Medici Tangerine Fuschia,,B2H-1066-T3-1006,45
,,,,,
Bon Voyage Beach Towel,Beach,Turquoise,,B2H-1226-T3-802,60
Porter Beach Towel,Beach,Multi,,H-1057-T1-1300,40
Mirimar Beach Towel,Beach,Cool,,B2H-1066-T3-1006,40
Jalisco,Beach,Cream,,BCH-1221-T1-105,40
Tamara Beach Towel,Beach,Limon,,BCH-1049-T1-803,40
Prescott Beach Towel,Beach,Cool,,BCH-1218-T1-313,40
Bahama Beach Towel,Beach,Bahama Cool,,BCH-1217-T1-313,40
,,Bahama Turquoise,,BCH-1217-T1-801,40
Bahama,Beach,Navy,,BCH-1217-T1-318,40
Gypsy Fish Beach Towel,Beach,Gypsy Fish Navy,,BCH-1215-T1-318,40
,,Gypsy Fish Coral,,BCH-1215-T1-1003,40
,,,,,
Tango Beach Towel,Beach,Chocolate,,BCH-1214-T1-401,40
Tribal Zebra Beach Towel,Beach,Chocolate,,BCH-1213-T1-401,40
Seafish Beach Towel,Beach,Coral,,BCH-1212-T1-1003,40
Seafish,Beach,Cool,,BCH-1212-T1-313,40
Tuscon Beach Towel,Beach,Cool,,BCH-1210-T1-313,40
Seaport,Beach,Navy,,BCH-1209-T1-318,40
Hibiscus Beach Towel,Beach,Hibiscus Coral,,BCH-1208-T1-1003,40
,,Hibiscus Navy Aqua,,BCH-1208-T1-396,40
,,Hibiscus Sunshine,,'813232023293,40
,,,,,
Hibiscus,Beach,Sunshine,,BCH-1208-T1-705,40
Dumbo Dot Hoodies,Hoodie,Seaglass,,KH-1311-T1-301,43
,,Kids Silver,,KH-1311-T1-221,43
,,Dream Pink Dot,,KH-1311-T1-1022,43
Caro,Solids,Nickel,Bath,BT-1204-T4-205,32
,,Nickel,Hand,HT-1204-T4-205,18
,,Nickel,Wash,WT-1204-T4-205,11
,,Nickel,Set,BHWT3PC-1204-T4-205,61
Caro,Solids,Denim,Bath,BT-1204-T4-353,32
,,Denim,Hand,HT-1204-T4-353,18
,,Denim,Wash,WT-1204-T4-353,11
,,Denim,Set,BHWT3PC-1204-T4-353,61
Caro,Solids,Mimosa,Bath,BT-1204-T4-1021,32
,,Mimosa,Hand,HT-1204-T4-1021,18
,,Mimosa,Wash,WT-1204-T4-1021,11
,,Mimosa,Set,BHWT3PC-1204-T4-1021,61
Caro,Solids,Seafoam,Bath,BT-1204-T4-817,32
,,Seafoam,Hand,HT-1204-T4-817,18
,,Seafoam,Wash,WT-1204-T4-817,11
,,Seafoam,Set,BHWT3PC-1204-T4-817,61
Caro,Solids,Camel,Bath,BT-1204-T4-425,32
,,Camel,Hand,HT-1204-T4-425,18
,,Camel,Wash,WT-1204-T4-425,11
,,Camel,Set,BHWT3PC-1204-T4-425,61
Caro,Solids,Vintage White,Bath,BT-1204-T4-122,32
,,Vintage White,Hand,HT-1204-T4-122,18
,,Vintage White,Wash,WT-1204-T4-122,11
,,Vintage White,Set,BHWT3PC-1204-T4-122,61
Caro Bath Towel Collection,Solids,White,Bath,'813232020995,32
,,White,Hand,'813232021008,18
,,White,Wash,'813232021022,11
,,White,Set,'813232020247,61
,,Vintage White,Bath,'813232021015,32
,,Vintage White,Hand,'813232021039,18
,,Vintage White,Wash,'813232021046,11
,,Vintage White,Set,'813232020261,61
,,Seafoam,Bath,'813232021084,32
,,Seafoam,Hand,'813232021091,18
,,Seafoam,Wash,'813232021107,11
,,Seafoam,Set,'813232020308,61
,,Mimosa,Bath,'813232021114,32
,,Mimosa,Hand,'813232021121,18
,,Mimosa,Wash,'813232021138,11
,,Mimosa,Set,'813232020322,61
,,Camel,Bath,'813232021053,32
,,Camel,Hand,'813232021060,18
,,Camel,Wash,'813232021077,11
,,Camel,Set,'813232020285,61
,,Nickel,Bath,'813232021176,32
,,Nickel,Hand,'813232021183,18
,,Nickel,Wash,'813232021190,11
,,Nickel,Set,'813232020360,61
,,Denim,Bath,'813232021145,32
,,Denim,Hand,'813232021152,18
,,Denim,Wash,'813232021169,11
,,Denim,Set,'813232020346,61
Noel,Solids,Silver,Bath,'813232020964,32
,,Silver,Hand,'813232020971,18
,,Silver,Wash,'813232020988,11
,,Silver,Set,'813232020162,61
Noel,Solids,Whisper,Bath,'813232020933,32
,,Whisper,Hand,'813232020940,18
,,Whisper,Wash,'813232020957,11
,,Whisper,Set,'813232020155,61
Noel,Solids,Seagreen,Bath,'813232020902,32
,,Seagreen,Hand,'813232020919,18
,,Seagreen,Wash,'813232020926,11
,,Seagreen,Set,'813232020148,61
Noel Bath Towel Collection,Solids,White,Bath,BT-1436-T1-100,32
,,White,Hand,HT-1436-T1-100,18
,,White,Wash,WT-1436-T1-100,11
,,White,Set,BHWT-1129-T4-100,61
,,Whisper,Set,BHWT-1129-T4-114,61
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Acapulco,Fancies,Fiesta,Bath,BT-1112-T1-1304,28
,,Fiesta,Hand,HT-1112-T1-1304,18
,,Fiesta,Wash,WT-1112-T1-1304,10
,,Fiesta,Set,BHWT-1112-T1-1304,50
Salina,Fancies,Linen,Bath,BT-1045-T1-404,32
,,Linen,Hand,HT-1045-T1-404,18
,,Linen,Wash,WT-1045-T1-404,11
,,Linen,Set,BHWT-1045-T1-404,61
Basketweave,Fancies,White Multi,Bath,BT-1088-T1-1301,32
,,White Multi,Hand,HT-1088-T1-1301,18
,,White Multi,Wash,WT-1088-T1-1301,11
,,White Multi,Set,BHWT-1088-T1-1301,61
Elizabeth,Fancies,Ivory Linen,Bath,BT-1027-T1-410,32
,,Ivory Linen,Hand,HT-1027-T1-410,18
,,Ivory Linen,Wash,WT-1027-T1-410,11
,,Ivory Linen,Set,BHWT-1027-T1-410,61
Olivia,Fancies,Sesame,Bath,'813232020728,32
,,Sesame,Hand,'813232020735,18
,,Sesame,Wash,'813232020742,11
,,Sesame,Set,'813232020117,61
Durango Bath Towel Collection,Fancies,French Grey,Set,BHWT-1126-T1-215,50
,,,,,
,,,,,
,,,,,
Cannes,Fancies,Rose Gold,Bath,BT-1155-T7-1016,32
,,Rose Gold,Hand,HT-1155-T7-1016,18
,,Rose Gold,Wash,TT-1155-T7-1016,11
,,Rose Gold,Set,BHWT-1155-T7-1016,61
Cannes,Fancies,White Silver,Bath,BT-1155-T7-112,32
,,White Silver,Hand,HT-1155-T7-112,18
,,White Silver,Wash,TT-1155-T7-112,11
,,White Silver,Set,BHWT-1155-T7-112,61
Dumbo Dot Bath Towel Collection,Fancies,Red,Bath,BT-1071-T2-501,32
,,Red,Hand,HT-1071-T2-501,18
,,Red,Wash,WT-1071-T2-501,11
,,Red,Set,BHWT-1071-T2-501,61
Salina Bath Towel Collection,Fancies,Salina Cool,Bath,BT-1045-T1-313,32
,,Salina Cool,Hand,HT-1045-T1-313,18
,,Salina Cool,Wash,WT-1045-T1-313,11
,,Salina Mint,Bath,BT-1045-T1-802,32
,,Salina Mint,Hand,HT-1045-T1-802,18
,,Salina Mint,Wash,WT-1045-T1-802,11
,,Salina Mint,Set,BHWT-1045-T1-802,61
Nicolette,Fancies,Ivory Gold,Bath,BT-1081-T4-103,32
,,Ivory Gold,Hand,HT-1081-T4-103,18
,,Ivory Gold,Wash,WT-1081-T4-103,11
,,Ivory Gold,Set,BHWT-1081-T4-103,61
Julia,Fancies,Mineral Julia,Bath,BT-1113-T1-302,32
,,Mineral Julia,Hand,HT-1113-T1-302,18
,,Mineral Julia,Wash,WT-1113-T1-302,11
,,Mineral Julia,Set,BHWT-1113-T1-302,61
Zebra,Fancies,Nickel Zebra,Bath,BT-1141-T1-205,32
,,Nickel Zebra,Hand,HT-1141-T1-205,18
,,Nickel Zebra,Wash,WT-1141-T1-205,11
,,Nickel Zebra,Set,BHWT-1141-T1-205,61
Chloe,Fancies,Mineral,Bath,BT-1093-T1-302,32
,,Mineral,Hand,HT-1093-T1-302,18
,,Mineral,Wash,WT-1093-T1-302,11
,,Mineral,Set,BHWT-1093-T1-302,61
Chloe,Fancies,Ebony,Bath,BT-1093-T1-900,32
,,Ebony,Hand,HT-1093-T1-900,18
,,Ebony,Wash,WT-1093-T1-900,11
,,Ebony,Set,BHWT-1093-T1-900,61
Rochelle Bath Towel Collection,Fancies,Magenta,Set,BHWT-1089-T1-604,50
,,,,,
,,,,,
Dumbo Dot Towel and Wash Mitt,Bath Towel,Dream Pink Dot,Bath,BT-1275-T1-1022,28
,,Kids Silver,Bath,BT-1275-T1-221,28
,,Seaglass,Bath,BT-1275-T1-301,28
,,Dream Pink Dot,Mitt,WM-1275-T1-1022,8
,,Kids Silver,Mitt,WM-1275-T1-221,8
,,Seaglass,Mitt,WM-1275-T1-301,8
,,,,,
,,,,,
Caro Kids Character Hoodies,Hoodie,Pancho,,'813232021305,43
,,Elephante,,'813232023286,43
,,Chanchi,,'813232021299,43
