Title,Type,Option1 Value,Option2 Value,Variant SKU,Variant Price
,,Ivory,King,66572KGN01,372
,,Ivory,Queen,66572QNN01,348
,,White,King,66572KGW01,372
,,White,Queen,66572QNW01,348
,,,,,
,,,,,
Reversible Cotton Bath Rug,Bath Rugs,Ivory,SM,20106SMN01,55
,,Ivory,LG,20106LGN01,75
,,Azure,LG,20106LGB56,75
,,Chocolate,SM,20106SMO90,55
,,Chocolate,XL,20106XLO90,90
,,Latte,SM,20106SMO40,55
,,Oat,SM,20106SMO15,55
,,Oat,XL,20106XLO15,90
,,Oat,LG,20106LGO15,75
,,Periwinkle,SM,20106SMB25,55
,,Periwinkle,XL,20106XLB25,90
,,Steel,SM,20106SMK65,55
,,Steel,LG,20106LGK65,75
,,Azure,SM,20106SMB56,55
,,Steel,XL,20106XLk65,90
Chloe Bath Towel Collection,BATH TOWEL,Bath,Ebony,BT-1093-T1-900,32
,,Hand,Ebony,HT-1093-T1-900,18
,,Wash,Ebony,WT-1093-T1-900,11
Stella Bath Towel Collection,Bath Towels,White,Bath,BT-1071-T2-100,32
,,White,Hand,HT-1071-T2-100,18
,,White,Wash,WT-1071-T2-100,11
Emma Bath Towel Collection,Bath Towels,White,Bath,BT-1281-T1-100,32
,,White,Hand,HT-1281-T1-100,18
,,White,Wash,WT-1281-T1-100,11
Cooper Bath Towel Collection,Bath Towels,White,Hand,HT-1027-T1-100,18
Belize Bath Towel Collection,Bath Towels,White,Bath,BT-1392-T4-100,32
,,White,Hand,HT-1392-T4-100,18
Heirloom Bath Towel Collection,"Bath Towels, Fashion Bath Towels",Heirloom White,Sheet,BS-1428-T4-100,25
,,Heirloom White,Bath,BT-1428-T4-100,15
,,Heirloom White,Hand,HT-1428-T4-100,8
,,Heirloom White,Wash,WT-1428-T4-100,6
,,Heirloom White,Tub Mat,TM-1428-T4-100,12
,,Heirloom Ivory,Sheet,BS-1428-T4-101,25
,,Heirloom Ivory,Bath,BT-1428-T4-101,15
,,Heirloom Ivory,Hand,HT-1428-T4-101,8
,,Heirloom Ivory,Wash,WT-1428-T4-101,6
,,Heirloom Ivory,Tub Mat,TM-1428-T4-101,12
,,Heirloom Mist,Sheet,BS-1428-T4-250,25
,,Heirloom Mist,Bath,BT-1428-T4-250,15
,,Heirloom Mist,Hand,HT-1428-T4-250,8
,,Heirloom Mist,Wash,WT-1428-T4-250,6
,,Heirloom Mist,Tub Mat,TM-1428-T4-250,12
,,Heirloom Beige,Sheet,BS-1428-T4-406,25
,,Heirloom Beige,Bath,BT-1428-T4-406,15
,,Heirloom Beige,Hand,HT-1428-T4-406,8
,,Heirloom Beige,Wash,WT-1428-T4-406,6
,,Heirloom Beige,Tub Mat,TM-1428-T4-406,12
,,Heirloom Mimosa,Sheet,BS-1428-T4-1026,25
,,Heirloom Mimosa,Bath,BT-1428-T4-1026,15
,,Heirloom Mimosa,Hand,HT-1428-T4-1026,8
,,Heirloom Mimosa,Wash,WT-1428-T4-1026,6
,,Heirloom Mimosa,Tub Mat,TM-1428-T4-1026,12
,,Heirloom Nickel,Sheet,BS-1428-T4-205,25
,,Heirloom Nickel,Bath,BT-1428-T4-205,15
,,Heirloom Nickel,Hand,HT-1428-T4-205,8
,,Heirloom Nickel,Wash,WT-1428-T4-205,6
,,Heirloom Nickel,Tub Mat,TM-1428-T4-205,12
,,Heirloom Sky,Sheet,BS-1428-T4-350,25
,,Heirloom Sky,Bath,BT-1428-T4-350,15
,,Heirloom Sky,Hand,HT-1428-T4-350,8
,,Heirloom Sky,Wash,WT-1428-T4-350,6
,,Heirloom Sky,Tub Mat,TM-1428-T4-350,12
,,Heirloom Maritime,Sheet,BS-1428-T4-364,25
,,Heirloom Maritime,Bath,BT-1428-T4-364,15
,,Heirloom Maritime,Hand,HT-1428-T4-364,8
,,Heirloom Maritime,Wash,WT-1428-T4-364,6
